customerKey,customerSortKey,address,city,zipCode,customerType,leaseTerms,moveInDate,moveOutDate
427,LEASE#ti-3409,1 Washington Parkway,Huntington Beach,92648,Resident,3,7/6/2006,7/6/2009
713,LEASE#vx-1022,934 Iowa Way,Newport Beach,92662,Resident,3,7/4/2006,7/4/2009
499,LEASE#dq-6861,23943 6th Road,Macon,31210,Resident,3,6/27/2006,6/27/2009
551,LEASE#dy-9816,90 Green Ridge Parkway,Riverside,92519,Resident,3,6/26/2006,6/26/2009
114,LEASE#qj-6794,34 Florence Pass,Athens,30605,Resident,3,6/6/2006,6/6/2009
639,LEASE#dp-0545,21746 Clyde Gallagher Trail,Los Angeles,90065,Resident,3,5/24/2006,5/24/2009
408,LEASE#sr-8588,71 Village Crossing,Newport Beach,92662,Resident,3,5/9/2006,5/9/2009
162,LEASE#lo-3044,17344 Bowman Park,Long Beach,90847,Resident,3,5/7/2006,5/7/2009
220,LEASE#dz-1394,05 Bultman Trail,Atlanta,30380,Resident,3,5/7/2006,5/7/2009
406,LEASE#lh-5496,3332 Northridge Park,San Diego,92121,Resident,3,5/5/2006,5/5/2009
583,LEASE#gl-8245,8 Anthes Place,Duluth,30195,Resident,3,4/25/2006,4/25/2009
940,LEASE#va-6526,164 Kedzie Lane,San Jose,95194,Resident,3,4/21/2006,4/21/2009
530,LEASE#bk-6448,7 Karstens Drive,San Diego,92160,Resident,3,4/19/2006,4/19/2009
400,LEASE#ef-5098,5281 Carioca Plaza,Macon,31210,Resident,3,4/13/2006,4/13/2009
848,LEASE#vn-6485,0 Kingsford Place,San Mateo,94405,Resident,3,4/7/2006,4/7/2009
331,LEASE#vg-0970,9 Pine View Center,Fresno,93794,Resident,3,4/4/2006,4/4/2009
268,LEASE#lb-7080,10648 Oneill Road,Huntington Beach,92648,Resident,3,4/2/2006,4/2/2009
312,LEASE#xe-2705,505 Scoville Hill,San Diego,92110,Resident,3,3/23/2006,3/23/2009
806,LEASE#bc-7310,9 Oneill Crossing,Los Angeles,90094,Resident,3,3/17/2006,3/17/2009
804,LEASE#bp-8067,40085 Sugar Drive,Torrance,90505,Resident,3,3/10/2006,3/10/2009
529,LEASE#dk-0073,2 Wayridge Lane,Decatur,30033,Resident,3,3/2/2006,3/2/2009
168,LEASE#og-0939,9313 Golf Place,Gainesville,30506,Resident,3,2/26/2006,2/26/2009
33,LEASE#bf-1340,83 Corben Lane,Cambridge,2142,Resident,3,2/21/2006,2/21/2009
299,LEASE#wt-4611,8624 Portage Drive,San Francisco,94137,Resident,3,2/11/2006,2/11/2009
905,LEASE#yd-0343,08 Westerfield Place,Inglewood,90310,Resident,3,1/30/2006,1/30/2009
542,LEASE#ax-2144,60 Old Shore Junction,Alpharetta,30022,Resident,3,1/18/2006,1/18/2009
793,LEASE#ii-2095,067 Kim Park,Newton,2162,Resident,3,1/10/2006,1/10/2009
151,LEASE#vg-4889,269 Raven Avenue,Orange,92862,Resident,3,12/29/2005,12/29/2008
254,LEASE#ab-2403,22795 West Junction,Santa Monica,90405,Resident,3,12/21/2005,12/21/2008
107,LEASE#ep-2666,87858 Ohio Way,Columbus,31904,Resident,3,12/20/2005,12/20/2008
962,LEASE#zx-0832,1507 Park Meadow Park,San Luis Obispo,93407,Resident,3,12/3/2005,12/3/2008
842,LEASE#an-9439,0 Dunning Center,Duluth,30096,Resident,3,11/25/2005,11/25/2008
752,LEASE#dg-1950,30130 Eagan Pass,San Diego,92127,Resident,3,11/22/2005,11/22/2008
97,LEASE#kx-4879,33 Redwing Street,Whittier,90610,Resident,3,11/17/2005,11/17/2008
17,LEASE#bn-1229,163 Schiller Plaza,Newton,2458,Resident,3,10/28/2005,10/28/2008
559,LEASE#df-4485,1282 Vera Way,Inglewood,90305,Resident,3,10/26/2005,10/26/2008
61,LEASE#ii-4914,212 Briar Crest Pass,Anaheim,92825,Resident,3,10/20/2005,10/20/2008
